Date|AAPL|AGG|AMZN|BND|BTC-USD|COP|CROMF|CVX|DUK|EXC|FB|GC=F|GOOGL|HYG|IEF|JNK|JPM|KO|LQD|MSFT|MUB|NEE|NFLX|NVDA|PEHN.SW|PEP|PFFA|PG|SHY|TIP|TLT|TSLA|V|XOM|^GSPC|^IRX
2021-08-27|151.8927459716797|110.35560607910156|173.156005859375|81.89834594726562|49327.72265625|52.047000885009766|12.590557098388672|90.65068817138672|98.4748306274414|33.49866485595703||1808.699951171875|143.28700256347656|79.1243896484375|112.60011291503906|97.59524536132812|151.25099182128906|53.483856201171875|126.6888427734375|295.79119873046875|111.76683807373047|82.65267181396484|588.5499877929688|223.60443115234375||147.7101287841797|21.113218307495117|137.00070190429688|83.46743774414062|116.44485473632812|142.16021728515625|244.1300048828125|220.82518005371094|51.01216506958008|4536.9501953125|0.03999999910593033
2021-08-30|||||||||||||||||||||||||79.88924407958984|||||||||||
2021-09-03|152.3079376220703|110.56221771240234|174.20799255371094|82.04541015625|46391.421875|51.109066009521484|12.643837928771973|89.0642318725586|96.60043334960938|33.5855827331543||1797.4000244140625|143.54100036621094|79.33609771728516|112.590576171875|97.87559509277344|150.05389404296875|52.62653350830078|127.07695770263672|291.9606018066406|111.88619232177734|82.0409927368164|597.5399780273438|221.4569091796875||147.56655883789062|21.005157470703125|137.03878784179688|83.48971557617188|117.89282989501953|142.51231384277344|251.6199951171875|224.08566284179688|50.095272064208984|4493.27978515625|0.03799999877810478
2021-09-06|||||||||||||||||||||||||82.77680206298828|||||||||||
2021-09-10|147.0883026123047|110.43843078613281|174.41200256347656|81.94105529785156|47783.359375|54.4654426574707|12.643837928771973|90.28886413574219|93.6364974975586|33.552154541015625||1754.5999755859375|143.61000061035156|79.47138214111328|112.24472045898438|98.0984115600586|149.01702880859375|52.14604949951172|127.07695770263672|299.788818359375|111.80966186523438|80.28243255615234|586.5|222.1060028076172||147.4054718017578|20.946975708007812|137.15298461914062|83.4606704711914|117.50138092041016|142.67410278320312|252.3300018310547|220.97296142578125|51.697505950927734|4473.75|0.029999999329447746
2021-09-13|||||||||||||||||||||||||85.66436767578125|||||||||||
2021-09-17|145.15072631835938|110.09561157226562|170.8000030517578|81.69436645507812|44895.09765625|58.58506774902344|12.643837928771973|92.83090209960938|90.85722351074219|33.19778060913086||1747.699951171875|141.21600341796875|79.40825653076172|111.50495147705078|98.00037384033203|151.92965698242188|51.29612731933594|126.65538024902344|294.2294921875|111.66612243652344|77.67323303222656|593.260009765625|224.50259399414062||146.05043029785156|20.73085594177246|137.2291259765625|83.38322448730469|116.65471649169922|141.21778869628906|251.2133331298828|224.89337158203125|52.86445999145508|4448.97998046875|0.02500000037252903
2021-09-20|||||||||||||||||||||||||86.62689208984375|||||||||||
2021-09-24|139.88168334960938|109.35281372070312|164.2519989013672|81.0682144165039|43790.89453125|62.318458557128906|12.589653968811035|94.1204605102539|90.10929870605469|32.321861267089844||1755.300048828125|133.67599487304688|78.91217041015625|110.69791412353516|97.46563720703125|154.2956085205078|49.805843353271484|124.6133041381836|276.9034118652344|111.15898132324219|75.04495239257812|610.3400268554688|206.8675537109375||142.52542114257812|20.82164764404297|133.05105590820312|83.40257263183594|116.24505615234375|137.37225341796875|258.49334716796875|219.41659545898438|54.475948333740234|4307.5400390625|0.02800000086426735
2021-09-27|||||||||||||||||||||||||86.62689208984375|||||||||||
